Name of the product,Product Brand,categories,primaryCategories,reviews.date,reviews.text,reviews.title,sentiment,review_length,sentiment_score
2,0,10,0,2016-12-26T00:00:00.000Z,purchas on black fridaypro great price even off saleveri power and fast with quad core processor amaz soundwel builtcon amazon ad amazon need thi to subsid the tablet and will remov the add if you pay them 15inabl to access other app except the one from amazon there is a way which i wa abl to accomplish to add the googl play storenet thi is a great tablet for the money,"['power', 'tablet']",Positive,71,0.9442
5,0,1,1,2018-01-17T00:00:00.000Z,i purchas two amazon in echo plu and two dot plu four fire stick and the hub philip hue for lamp for the famili at christma 2017 iäôm so happi with these purchas and learn so much with alexa you can start your daili routin with alexa and program it to whatev you would like to includ news weather music horoscop also you can start your day off with a compliment and i think is veri import alexa gave me the best chili recip i mean the best itäô call chili i i want my husband to use alexa to stay organ for busi date and remind thi is the way to go,"['amazon', 'echo', 'plu', 'awesom']",Positive,113,0.9274
9,0,2,1,2017-12-20T00:00:00.000Z,just an averag alexa option doe show a few thing on screen but still limit,['averag'],Neutral,15,0.0
14,0,22,3,2017-08-04T00:00:00.000Z,veri good product exactli what i want and a veri good price,['greattttttt'],Positive,12,0.7269
13,0,9,0,2017-01-23T00:00:00.000Z,thi is the 3rd one ive purchas ive bought one for all of my niec no other case compar to thi one it ha held protect the tablet so mani time from them drop it,"['veri', 'durabl']",Positive,35,0.1779
20,0,16,3,2016-12-23T00:00:00.000Z,thi is a great product light weight i wish it ha wifi to download from onlin,"['you', 'will', 'love', 'it']",Positive,16,0.8481
13,0,9,0,2017-05-31T00:00:00.000Z,my 7year old daughter save up to by thi her brother bought the 8gb about a year earlier so new she need more space the o is a bit clunki and le intuit then on higher price tablet but tough to beat the price speed isnt great for web or certain game app but fine for book parent control are help but take time to figur out and requir more step than seem necessari to chang overal ok first tablet for kid consid the price for adult fine for ebook and veri basic app otherwis best to pay up for better qualiti and o effici,"['ok', 'for', 'entri', 'level', 'tablet']",Neutral,105,0.9456
13,0,9,0,2016-06-05T00:00:00.000Z,purchas thi for my son ha room to upgrad memori to allow more book game but the speaker could be better or locat in a better posit,"['great', 'for', 'kid', 'or', 'smaller', 'need']",Positive,27,0.8705
2,0,10,0,2016-11-23T00:00:00.000Z,bought thi for my mom and it wa just what she need and at a great price been want to get an ipad for myself but think thi might be a great le expens option for me a well,"['great', 'tablet']",Positive,39,0.9001
2,0,10,0,2017-05-18T00:00:00.000Z,wa cheap can not run chrome stuff return to store,"['wa', 'cheap', 'can', 'not', 'run', 'chrome', 'stuff', 'return']",Negative,10,0.0
